"Perioden";"Regio's";"Gemiddelde verkoopprijs (euro)"
"1995";"Arnhem";80240
"2000";"Arnhem";149386
"2005";"Arnhem";188779
"2010";"Arnhem";204498
"2015";"Arnhem";199528
"2020";"Arnhem";279571
"2021";"Arnhem";344738
"2022";"Arnhem";383699
"2023";"Arnhem";369114
"2024";"Arnhem";403201
"2025";"Arnhem";407247
"1995";"Assen";75013
"2000";"Assen";120177
"2005";"Assen";168939
"2010";"Assen";186206
"2015";"Assen";183838
"2020";"Assen";250572
"2021";"Assen";301082
"2022";"Assen";330027
"2023";"Assen";334100
"2024";"Assen";361465
"2025";"Assen";376755
"1995";"'s-Gravenhage (gemeente)";74053
"2000";"'s-Gravenhage (gemeente)";135368
"2005";"'s-Gravenhage (gemeente)";195514
"2010";"'s-Gravenhage (gemeente)";227616
"2015";"'s-Gravenhage (gemeente)";231302
"2020";"'s-Gravenhage (gemeente)";355807
"2021";"'s-Gravenhage (gemeente)";411717
"2022";"'s-Gravenhage (gemeente)";454312
"2023";"'s-Gravenhage (gemeente)";413689
"2024";"'s-Gravenhage (gemeente)";447417
"2025";"'s-Gravenhage (gemeente)";465418
"1995";"Groningen (gemeente)";62635
"2000";"Groningen (gemeente)";99943
"2005";"Groningen (gemeente)";164280
"2010";"Groningen (gemeente)";180217
"2015";"Groningen (gemeente)";177441
"2020";"Groningen (gemeente)";278720
"2021";"Groningen (gemeente)";321804
"2022";"Groningen (gemeente)";353917
"2023";"Groningen (gemeente)";349931
"2024";"Groningen (gemeente)";373411
"2025";"Groningen (gemeente)";396626
"1995";"Haarlem";83039
"2000";"Haarlem";163672
"2005";"Haarlem";227984
"2010";"Haarlem";267413
"2015";"Haarlem";268197
"2020";"Haarlem";447447
"2021";"Haarlem";507862
"2022";"Haarlem";561362
"2023";"Haarlem";507289
"2024";"Haarlem";548843
"2025";"Haarlem";576569
"1995";"'s-Hertogenbosch";100092
"2000";"'s-Hertogenbosch";191688
"2005";"'s-Hertogenbosch";246806
"2010";"'s-Hertogenbosch";261128
"2015";"'s-Hertogenbosch";253262
"2020";"'s-Hertogenbosch";371124
"2021";"'s-Hertogenbosch";412222
"2022";"'s-Hertogenbosch";463836
"2023";"'s-Hertogenbosch";443955
"2024";"'s-Hertogenbosch";478097
"2025";"'s-Hertogenbosch";506467
"1995";"Leeuwarden";56599
"2000";"Leeuwarden";95702
"2005";"Leeuwarden";143596
"2010";"Leeuwarden";162912
"2015";"Leeuwarden";157690
"2020";"Leeuwarden";230738
"2021";"Leeuwarden";262188
"2022";"Leeuwarden";287719
"2023";"Leeuwarden";294731
"2024";"Leeuwarden";310226
"2025";"Leeuwarden";319443
"1995";"Lelystad";80373
"2000";"Lelystad";131274
"2005";"Lelystad";174333
"2010";"Lelystad";193575
"2015";"Lelystad";179997
"2020";"Lelystad";273122
"2021";"Lelystad";332187
"2022";"Lelystad";380395
"2023";"Lelystad";372216
"2024";"Lelystad";405965
"2025";"Lelystad";426903
"1995";"Maastricht";96899
"2000";"Maastricht";162594
"2005";"Maastricht";210951
"2010";"Maastricht";222775
"2015";"Maastricht";221578
"2020";"Maastricht";316733
"2021";"Maastricht";353620
"2022";"Maastricht";369617
"2023";"Maastricht";374547
"2024";"Maastricht";394938
"2025";"Maastricht";413671
"1995";"Middelburg (Z.)";88136
"2000";"Middelburg (Z.)";123880
"2005";"Middelburg (Z.)";214129
"2010";"Middelburg (Z.)";206310
"2015";"Middelburg (Z.)";193782
"2020";"Middelburg (Z.)";271151
"2021";"Middelburg (Z.)";321374
"2022";"Middelburg (Z.)";336663
"2023";"Middelburg (Z.)";345346
"2024";"Middelburg (Z.)";376819
"2025";"Middelburg (Z.)";393274
"1995";"Utrecht (gemeente)";85568
"2000";"Utrecht (gemeente)";165717
"2005";"Utrecht (gemeente)";219305
"2010";"Utrecht (gemeente)";252064
"2015";"Utrecht (gemeente)";245900
"2020";"Utrecht (gemeente)";405791
"2021";"Utrecht (gemeente)";469949
"2022";"Utrecht (gemeente)";510980
"2023";"Utrecht (gemeente)";474406
"2024";"Utrecht (gemeente)";519924
"2025";"Utrecht (gemeente)";549113
"1995";"Zwolle";84813
"2000";"Zwolle";155551
"2005";"Zwolle";206170
"2010";"Zwolle";223622
"2015";"Zwolle";218349
"2020";"Zwolle";315874
"2021";"Zwolle";363081
"2022";"Zwolle";414535
"2023";"Zwolle";410024
"2024";"Zwolle";450763
"2025";"Zwolle";450913
